dataset,budget_per_class,noise_rate,noise_type,method,seed,n_train,n_test,num_classes,actual_noise_fraction,accuracy,macro_f1,runtime_seconds,train_runtime_seconds,eval_runtime_seconds,epochs,requested_train_batch_size,effective_train_batch_size,requested_eval_batch_size,effective_eval_batch_size,train_batches,eval_batches,peak_memory_allocated_mib,effective_device,mean_train_loss,train_counts,source_kind,method_family,fit_notes
ag_news,64,0.0,symmetric,distilbert_base_uncased,505,256,800,4,0.0,0.84875,0.8474943729766133,1.1664631366729736,0.7690141201019287,0.2926187515258789,3,32,32,64,64,24,13,2101.25,cuda:0,1.1926567008097966,"{""0"": 64, ""1"": 64, ""2"": 64, ""3"": 64}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,64,0.05,symmetric,distilbert_base_uncased,101,256,800,4,0.0625,0.8325,0.8308622181362144,1.1630537509918213,0.738192081451416,0.3182361125946045,3,32,32,64,64,24,13,2106.25,cuda:0,1.1816982527573903,"{""0"": 64, ""1"": 64, ""2"": 64, ""3"": 64}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,64,0.05,symmetric,distilbert_base_uncased,202,256,800,4,0.05859375,0.805,0.8017675347303717,1.1214921474456787,0.7169229984283447,0.29991817474365234,3,32,32,64,64,24,13,2111.0,cuda:0,1.2414054870605469,"{""0"": 64, ""1"": 64, ""2"": 64, ""3"": 64}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,64,0.05,symmetric,distilbert_base_uncased,303,256,800,4,0.0390625,0.86875,0.8680165231070038,1.1221964359283447,0.7159342765808105,0.2966477870941162,3,32,32,64,64,24,13,2093.46,cuda:0,1.1709694986542065,"{""0"": 64, ""1"": 64, ""2"": 64, ""3"": 64}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,64,0.05,symmetric,distilbert_base_uncased,404,256,800,4,0.0546875,0.845,0.8418346318150653,1.120697021484375,0.7181437015533447,0.2970705032348633,3,32,32,64,64,24,13,2112.0,cuda:0,1.1784334853291512,"{""0"": 64, ""1"": 64, ""2"": 64, ""3"": 64}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,64,0.05,symmetric,distilbert_base_uncased,505,256,800,4,0.0390625,0.84375,0.8418421995283418,1.1437067985534668,0.7502789497375488,0.2915000915527344,3,32,32,64,64,24,13,2102.06,cuda:0,1.2106037139892578,"{""0"": 64, ""1"": 64, ""2"": 64, ""3"": 64}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,64,0.1,symmetric,distilbert_base_uncased,101,256,800,4,0.13671875,0.83875,0.8367081150135361,1.1450273990631104,0.7306585311889648,0.30913782119750977,3,32,32,64,64,24,13,2110.25,cuda:0,1.2230756332476933,"{""0"": 64, ""1"": 64, ""2"": 64, ""3"": 64}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,64,0.1,symmetric,distilbert_base_uncased,202,256,800,4,0.08984375,0.7775,0.7732172267986503,1.1071467399597168,0.713205099105835,0.2921311855316162,3,32,32,64,64,24,13,2110.16,cuda:0,1.2596685340007145,"{""0"": 64, ""1"": 64, ""2"": 64, ""3"": 64}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,64,0.1,symmetric,distilbert_base_uncased,303,256,800,4,0.12890625,0.84,0.8360799168223717,1.107651710510254,0.7022857666015625,0.29891252517700195,3,32,32,64,64,24,13,2094.59,cuda:0,1.2053658639391263,"{""0"": 64, ""1"": 64, ""2"": 64, ""3"": 64}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,64,0.1,symmetric,distilbert_base_uncased,404,256,800,4,0.12890625,0.85,0.8467762999585894,1.2255723476409912,0.715646505355835,0.29379701614379883,3,32,32,64,64,24,13,2109.56,cuda:0,1.2259402697285016,"{""0"": 64, ""1"": 64, ""2"": 64, ""3"": 64}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
