dataset,budget_per_class,noise_rate,noise_type,method,seed,label,label_name,clean_support,precision,recall,f1
ag_news,8,0.05,class_conditional,softmax_logreg,202,0,0,200,0.39228295819935693,0.61,0.47749510763209396
ag_news,8,0.05,class_conditional,softmax_logreg,202,1,1,200,0.450199203187251,0.565,0.5011086474501107
ag_news,8,0.05,class_conditional,softmax_logreg,202,2,2,200,0.6507936507936508,0.205,0.311787072243346
ag_news,8,0.05,class_conditional,softmax_logreg,202,3,3,200,0.4857142857142857,0.425,0.45333333333333337
ag_news,8,0.05,class_conditional,softmax_logreg,303,0,0,200,0.5536723163841808,0.49,0.5198938992042441
ag_news,8,0.05,class_conditional,softmax_logreg,303,1,1,200,0.6722222222222223,0.605,0.6368421052631579
ag_news,8,0.05,class_conditional,softmax_logreg,303,2,2,200,0.5232558139534884,0.225,0.31468531468531474
ag_news,8,0.05,class_conditional,softmax_logreg,303,3,3,200,0.37254901960784315,0.665,0.4775583482944345
ag_news,8,0.05,class_conditional,softmax_logreg,404,0,0,200,0.6338028169014085,0.45,0.5263157894736842
ag_news,8,0.05,class_conditional,softmax_logreg,404,1,1,200,0.5166666666666667,0.465,0.4894736842105264
ag_news,8,0.05,class_conditional,softmax_logreg,404,2,2,200,0.430327868852459,0.525,0.47297297297297297
ag_news,8,0.05,class_conditional,softmax_logreg,404,3,3,200,0.47863247863247865,0.56,0.5161290322580645
ag_news,8,0.05,class_conditional,softmax_logreg,505,0,0,200,0.4314868804664723,0.74,0.5451197053406998
ag_news,8,0.05,class_conditional,softmax_logreg,505,1,1,200,0.4260869565217391,0.49,0.45581395348837206
ag_news,8,0.05,class_conditional,softmax_logreg,505,2,2,200,0.5658914728682171,0.365,0.44376899696048633
ag_news,8,0.05,class_conditional,softmax_logreg,505,3,3,200,0.5510204081632653,0.27,0.36241610738255037
ag_news,8,0.05,class_conditional,trimmed_softmax_logreg,101,0,0,200,0.0,0.0,0.0
ag_news,8,0.05,class_conditional,trimmed_softmax_logreg,101,1,1,200,0.48,0.6,0.5333333333333332
ag_news,8,0.05,class_conditional,trimmed_softmax_logreg,101,2,2,200,0.45555555555555555,0.615,0.523404255319149
ag_news,8,0.05,class_conditional,trimmed_softmax_logreg,101,3,3,200,0.3535714285714286,0.495,0.41250000000000003
ag_news,8,0.05,class_conditional,trimmed_softmax_logreg,202,0,0,200,0.35645933014354064,0.745,0.4822006472491909
ag_news,8,0.05,class_conditional,trimmed_softmax_logreg,202,1,1,200,0.5170068027210885,0.38,0.43804034582132567
ag_news,8,0.05,class_conditional,trimmed_softmax_logreg,202,2,2,200,0.0,0.0,0.0
ag_news,8,0.05,class_conditional,trimmed_softmax_logreg,202,3,3,200,0.4425531914893617,0.52,0.4781609195402299
ag_news,8,0.05,class_conditional,trimmed_softmax_logreg,303,0,0,200,0.4475806451612903,0.555,0.49553571428571425
ag_news,8,0.05,class_conditional,trimmed_softmax_logreg,303,1,1,200,0.7391304347826086,0.425,0.5396825396825397
ag_news,8,0.05,class_conditional,trimmed_softmax_logreg,303,2,2,200,0.0,0.0,0.0
ag_news,8,0.05,class_conditional,trimmed_softmax_logreg,303,3,3,200,0.34553775743707094,0.755,0.4740973312401884
ag_news,8,0.05,class_conditional,trimmed_softmax_logreg,404,0,0,200,0.0,0.0,0.0
ag_news,8,0.05,class_conditional,trimmed_softmax_logreg,404,1,1,200,0.47368421052631576,0.36,0.40909090909090906
ag_news,8,0.05,class_conditional,trimmed_softmax_logreg,404,2,2,200,0.3561253561253561,0.625,0.4537205081669691
