dataset,budget_per_class,noise_rate,noise_type,method,delta_accuracy_vs_clean,delta_macro_f1_vs_clean,macro_f1_slope_per_noise_rate
ag_news,64,0.1,class_conditional,multinomial_nb,-0.03249999999999997,-0.0338452926587971,-0.338452926587971
ag_news,64,0.1,class_conditional,softmax_logreg,-0.039249999999999896,-0.04263376099390204,-0.42633760993902037
ag_news,64,0.1,class_conditional,trimmed_softmax_logreg,-0.121,-0.1572826071648411,-1.572826071648411
ag_news,64,0.1,symmetric,linear_svm_hinge,-0.03049999999999997,-0.027897399426549008,-0.2789739942654901
ag_news,64,0.1,symmetric,multinomial_nb,-0.03374999999999995,-0.03393535148900195,-0.3393535148900195
ag_news,64,0.1,symmetric,softmax_logreg,-0.04124999999999979,-0.04344416080973401,-0.4344416080973401
ag_news,64,0.1,symmetric,trimmed_softmax_logreg,-0.11375000000000002,-0.1508944451249179,-1.508944451249179
ag_news,64,0.2,class_conditional,linear_svm_hinge,-0.057499999999999996,-0.06022412581696435,-0.30112062908482173
ag_news,64,0.2,class_conditional,multinomial_nb,-0.07399999999999995,-0.07583592894035629,-0.37917964470178145
ag_news,64,0.2,class_conditional,softmax_logreg,-0.07999999999999985,-0.08666703857198577,-0.43333519285992883
ag_news,64,0.2,class_conditional,trimmed_softmax_logreg,-0.12750000000000006,-0.175734856870158,-0.87867428435079
ag_news,64,0.2,symmetric,linear_svm_hinge,-0.09049999999999991,-0.09090490586761013,-0.45452452933805065
ag_news,64,0.2,symmetric,multinomial_nb,-0.08624999999999994,-0.08608992441109053,-0.4304496220554527
ag_news,64,0.2,symmetric,softmax_logreg,-0.09999999999999998,-0.1055946191254512,-0.527973095627256
ag_news,64,0.2,symmetric,trimmed_softmax_logreg,-0.20249999999999996,-0.2691334922534005,-1.3456674612670023
ag_news,64,0.3,class_conditional,linear_svm_hinge,-0.14974999999999994,-0.15586020500621656,-0.5195340166873885
ag_news,64,0.3,class_conditional,multinomial_nb,-0.13174999999999992,-0.13502045086880088,-0.4500681695626696
ag_news,64,0.3,class_conditional,softmax_logreg,-0.13849999999999985,-0.15010329801360622,-0.5003443267120208
ag_news,64,0.3,class_conditional,trimmed_softmax_logreg,-0.1995,-0.28255794811228085,-0.9418598270409362
ag_news,64,0.3,symmetric,linear_svm_hinge,-0.19224999999999998,-0.22514585564976347,-0.7504861854992116
ag_news,64,0.3,symmetric,multinomial_nb,-0.14,-0.13871911923314373,-0.4623970641104791
ag_news,64,0.3,symmetric,softmax_logreg,-0.15124999999999988,-0.15327092194501202,-0.5109030731500401
ag_news,64,0.3,symmetric,trimmed_softmax_logreg,-0.22824999999999995,-0.28997112135541264,-0.9665704045180422
ag_news,128,0.05,class_conditional,linear_svm_hinge,-0.05449999999999999,-0.0671056345811587,-1.342112691623174
ag_news,128,0.05,class_conditional,multinomial_nb,-0.009750000000000036,-0.009903068150212357,-0.19806136300424715
ag_news,128,0.05,class_conditional,softmax_logreg,-0.00824999999999998,-0.008582681260766556,-0.17165362521533112
ag_news,128,0.05,class_conditional,trimmed_softmax_logreg,-0.027249999999999996,-0.04358718768689562,-0.8717437537379125
ag_news,128,0.05,symmetric,linear_svm_hinge,-0.04400000000000004,-0.05112570304969988,-1.0225140609939976
ag_news,128,0.05,symmetric,multinomial_nb,-0.010500000000000065,-0.010703688630750663,-0.21407377261501326
ag_news,128,0.05,symmetric,softmax_logreg,-0.011749999999999927,-0.012471647269577502,-0.24943294539155003
ag_news,128,0.05,symmetric,trimmed_softmax_logreg,-0.030999999999999917,-0.03861271917906872,-0.7722543835813744
ag_news,128,0.1,class_conditional,linear_svm_hinge,-0.028750000000000053,-0.03328294784065877,-0.3328294784065877
ag_news,128,0.1,class_conditional,multinomial_nb,-0.018000000000000127,-0.01846772115061235,-0.18467721150612348
ag_news,128,0.1,class_conditional,softmax_logreg,-0.03125000000000011,-0.03289070739216193,-0.32890707392161933
ag_news,128,0.1,class_conditional,trimmed_softmax_logreg,-0.10924999999999996,-0.14093387113136802,-1.4093387113136802
ag_news,128,0.1,symmetric,linear_svm_hinge,-0.059250000000000025,-0.06047169022075505,-0.6047169022075505
ag_news,128,0.1,symmetric,multinomial_nb,-0.017750000000000044,-0.018002334014916133,-0.18002334014916133
ag_news,128,0.1,symmetric,softmax_logreg,-0.025499999999999967,-0.0262700147938133,-0.262700147938133
ag_news,128,0.1,symmetric,trimmed_softmax_logreg,-0.056499999999999995,-0.09012021846101614,-0.9012021846101614
ag_news,128,0.2,class_conditional,linear_svm_hinge,-0.09850000000000003,-0.11540147731107853,-0.5770073865553926
ag_news,128,0.2,class_conditional,multinomial_nb,-0.06925000000000003,-0.07052822399239433,-0.35264111996197167
ag_news,128,0.2,class_conditional,softmax_logreg,-0.07250000000000012,-0.07804452318020594,-0.3902226159010297
ag_news,128,0.2,class_conditional,trimmed_softmax_logreg,-0.11874999999999991,-0.17617921852293794,-0.8808960926146897
ag_news,128,0.2,symmetric,linear_svm_hinge,-0.09924999999999995,-0.11899365091644332,-0.5949682545822166
ag_news,128,0.2,symmetric,multinomial_nb,-0.05449999999999999,-0.054778713903557597,-0.273893569517788
ag_news,128,0.2,symmetric,softmax_logreg,-0.06425000000000003,-0.06961666866798344,-0.3480833433399172
ag_news,128,0.2,symmetric,trimmed_softmax_logreg,-0.13224999999999998,-0.1850148391505414,-0.925074195752707
ag_news,128,0.3,class_conditional,linear_svm_hinge,-0.16674999999999995,-0.17539184001574737,-0.5846394667191579
ag_news,128,0.3,class_conditional,multinomial_nb,-0.13550000000000006,-0.13803854027269025,-0.4601284675756342
ag_news,128,0.3,class_conditional,softmax_logreg,-0.14775000000000005,-0.15443360982988386,-0.5147786994329462
ag_news,128,0.3,class_conditional,trimmed_softmax_logreg,-0.22075,-0.2965057395056411,-0.9883524650188036
ag_news,128,0.3,symmetric,linear_svm_hinge,-0.16300000000000003,-0.17701657530667136,-0.5900552510222379
ag_news,128,0.3,symmetric,multinomial_nb,-0.09350000000000003,-0.09411301667372562,-0.31371005557908543
ag_news,128,0.3,symmetric,softmax_logreg,-0.12224999999999997,-0.12947460506390607,-0.4315820168796869
ag_news,128,0.3,symmetric,trimmed_softmax_logreg,-0.16300000000000003,-0.2345181350594021,-0.7817271168646738
dbpedia_14,8,0.05,class_conditional,linear_svm_hinge,-0.026285714285714246,-0.03328997272663725,-0.665799454532745
dbpedia_14,8,0.05,class_conditional,multinomial_nb,-0.035285714285714476,-0.03783141445879046,-0.7566282891758092
dbpedia_14,8,0.05,class_conditional,softmax_logreg,-0.05678571428571433,-0.06036656927602857,-1.2073313855205714
dbpedia_14,8,0.05,class_conditional,trimmed_softmax_logreg,-0.05049999999999999,-0.05027733169267501,-1.0055466338535002
dbpedia_14,8,0.05,symmetric,linear_svm_hinge,0.005499999999999949,0.006918492057319425,0.1383698411463885
dbpedia_14,8,0.05,symmetric,multinomial_nb,-0.04014285714285726,-0.04214634341720214,-0.8429268683440427
dbpedia_14,8,0.05,symmetric,softmax_logreg,-0.05400000000000005,-0.05968217432760381,-1.1936434865520762
dbpedia_14,8,0.05,symmetric,trimmed_softmax_logreg,-0.062071428571428555,-0.07881108479193089,-1.5762216958386177
dbpedia_14,8,0.1,class_conditional,linear_svm_hinge,-0.02828571428571436,-0.03672284169568607,-0.3672284169568607
dbpedia_14,8,0.1,class_conditional,multinomial_nb,-0.08714285714285719,-0.09278764764146008,-0.9278764764146008
dbpedia_14,8,0.1,class_conditional,softmax_logreg,-0.12135714285714305,-0.13307362404999112,-1.3307362404999112
dbpedia_14,8,0.1,class_conditional,trimmed_softmax_logreg,-0.10628571428571432,-0.1257815079456639,-1.257815079456639
dbpedia_14,8,0.1,symmetric,linear_svm_hinge,-0.04792857142857143,-0.048425229463639696,-0.48425229463639696
dbpedia_14,8,0.1,symmetric,multinomial_nb,-0.12257142857142866,-0.1357778790879005,-1.357778790879005
dbpedia_14,8,0.1,symmetric,softmax_logreg,-0.17278571428571443,-0.1890166310805257,-1.8901663108052569
dbpedia_14,8,0.1,symmetric,trimmed_softmax_logreg,-0.12335714285714294,-0.13374849717049409,-1.3374849717049409
dbpedia_14,8,0.2,class_conditional,linear_svm_hinge,-0.09907142857142859,-0.11458536304121891,-0.5729268152060946
dbpedia_14,8,0.2,class_conditional,multinomial_nb,-0.1625714285714287,-0.17487654546753761,-0.8743827273376881
dbpedia_14,8,0.2,class_conditional,softmax_logreg,-0.20950000000000013,-0.2278492597195495,-1.1392462985977474
