dataset,budget_per_class,noise_rate,noise_type,method,seed,n_train,n_test,num_classes,actual_noise_fraction,accuracy,macro_f1,runtime_seconds,train_counts,source_kind,method_family,fit_notes
ag_news,8,0.1,class_conditional,linear_svm_hinge,505,32,800,4,0.125,0.41375,0.3964497639637642,0.036330223083496094,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_margin,
ag_news,8,0.1,class_conditional,multinomial_nb,101,32,800,4,0.09375,0.4725,0.45422614182279986,0.0492854118347168,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,generative_nb,
ag_news,8,0.1,class_conditional,multinomial_nb,202,32,800,4,0.09375,0.51375,0.51277006482188,0.03513336181640625,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,generative_nb,
ag_news,8,0.1,class_conditional,multinomial_nb,303,32,800,4,0.0625,0.47625,0.47935884989390726,0.03245401382446289,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,generative_nb,
ag_news,8,0.1,class_conditional,multinomial_nb,404,32,800,4,0.125,0.50125,0.49752532305723796,0.03099822998046875,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,generative_nb,
ag_news,8,0.1,class_conditional,multinomial_nb,505,32,800,4,0.125,0.44625,0.4381380993502593,0.04239392280578613,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,generative_nb,
ag_news,8,0.1,class_conditional,softmax_logreg,101,32,800,4,0.09375,0.43,0.4004787626721922,0.04935193061828613,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_probabilistic,
ag_news,8,0.1,class_conditional,softmax_logreg,202,32,800,4,0.09375,0.4525,0.4482017956689993,0.04601430892944336,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_probabilistic,
ag_news,8,0.1,class_conditional,softmax_logreg,303,32,800,4,0.0625,0.4475,0.44753561242116263,0.03730583190917969,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_probabilistic,
ag_news,8,0.1,class_conditional,softmax_logreg,404,32,800,4,0.125,0.48875,0.48117105982165465,0.03733325004577637,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_probabilistic,
ag_news,8,0.1,class_conditional,softmax_logreg,505,32,800,4,0.125,0.3975,0.37174555174494706,0.03480386734008789,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_probabilistic,
ag_news,8,0.1,class_conditional,trimmed_softmax_logreg,101,32,800,4,0.09375,0.40625,0.34141837620753285,0.04564714431762695,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,bounded_robust_variant,kept_fraction=0.8438
ag_news,8,0.1,class_conditional,trimmed_softmax_logreg,202,32,800,4,0.09375,0.37625,0.29480862534693997,0.03539752960205078,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,bounded_robust_variant,kept_fraction=0.8125
ag_news,8,0.1,class_conditional,trimmed_softmax_logreg,303,32,800,4,0.0625,0.36625,0.3144447384279505,0.040970802307128906,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,bounded_robust_variant,kept_fraction=0.8125
ag_news,8,0.1,class_conditional,trimmed_softmax_logreg,404,32,800,4,0.125,0.39625,0.33490668398343404,0.034867048263549805,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,bounded_robust_variant,kept_fraction=0.8125
ag_news,8,0.1,class_conditional,trimmed_softmax_logreg,505,32,800,4,0.125,0.30875,0.2093369458708443,0.041860103607177734,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,bounded_robust_variant,kept_fraction=0.8125
ag_news,8,0.1,symmetric,linear_svm_hinge,101,32,800,4,0.15625,0.3675,0.32743276739387445,0.05397343635559082,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_margin,
ag_news,8,0.1,symmetric,linear_svm_hinge,202,32,800,4,0.15625,0.43375,0.411103924038803,0.036988019943237305,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_margin,
ag_news,8,0.1,symmetric,linear_svm_hinge,303,32,800,4,0.125,0.435,0.39840122022030633,0.03663039207458496,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_margin,
ag_news,8,0.1,symmetric,linear_svm_hinge,404,32,800,4,0.21875,0.4075,0.3657227359152777,0.03533124923706055,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_margin,
ag_news,8,0.1,symmetric,linear_svm_hinge,505,32,800,4,0.125,0.38125,0.3296768940217442,0.04428720474243164,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_margin,
ag_news,8,0.1,symmetric,multinomial_nb,101,32,800,4,0.15625,0.39125,0.35971025344891044,0.032462358474731445,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,generative_nb,
ag_news,8,0.1,symmetric,multinomial_nb,202,32,800,4,0.15625,0.4575,0.44749212172321884,0.03510165214538574,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,generative_nb,
ag_news,8,0.1,symmetric,multinomial_nb,303,32,800,4,0.125,0.47625,0.4558355867786037,0.0466310977935791,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,generative_nb,
ag_news,8,0.1,symmetric,multinomial_nb,404,32,800,4,0.21875,0.42875,0.39293963672709825,0.04621386528015137,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,generative_nb,
ag_news,8,0.1,symmetric,multinomial_nb,505,32,800,4,0.125,0.43875,0.4047089181630939,0.02999401092529297,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,generative_nb,
ag_news,8,0.1,symmetric,softmax_logreg,101,32,800,4,0.15625,0.36,0.31683903958325427,0.03476738929748535,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_probabilistic,
ag_news,8,0.1,symmetric,softmax_logreg,202,32,800,4,0.15625,0.40375,0.3758428762622297,0.048311710357666016,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_probabilistic,
ag_news,8,0.1,symmetric,softmax_logreg,303,32,800,4,0.125,0.44125,0.40304171752265594,0.04370307922363281,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_probabilistic,
