dataset,budget_per_class,noise_rate,noise_type,method,mean_macro_f1,delta_macro_f1_vs_clean
dbpedia_14,32,0.0,class_conditional,multinomial_nb,0.866172,0.000000
dbpedia_14,32,0.0,class_conditional,softmax_logreg,0.862654,0.000000
dbpedia_14,32,0.0,class_conditional,trimmed_softmax_logreg,0.644863,0.000000
dbpedia_14,32,0.0,symmetric,linear_svm_hinge,0.763089,0.000000
dbpedia_14,32,0.0,symmetric,multinomial_nb,0.866172,0.000000
dbpedia_14,32,0.0,symmetric,softmax_logreg,0.862654,0.000000
dbpedia_14,32,0.0,symmetric,trimmed_softmax_logreg,0.644863,0.000000
dbpedia_14,32,0.05,class_conditional,linear_svm_hinge,0.745649,-0.017441
dbpedia_14,32,0.05,class_conditional,multinomial_nb,0.850228,-0.015944
dbpedia_14,32,0.05,class_conditional,softmax_logreg,0.829979,-0.032675
dbpedia_14,32,0.05,class_conditional,trimmed_softmax_logreg,0.595753,-0.049110
dbpedia_14,32,0.05,symmetric,linear_svm_hinge,0.732574,-0.030515
dbpedia_14,32,0.05,symmetric,multinomial_nb,0.856515,-0.009658
dbpedia_14,32,0.05,symmetric,softmax_logreg,0.838085,-0.024569
dbpedia_14,32,0.05,symmetric,trimmed_softmax_logreg,0.623571,-0.021293
dbpedia_14,32,0.1,class_conditional,linear_svm_hinge,0.756230,-0.006860
dbpedia_14,32,0.1,class_conditional,multinomial_nb,0.832388,-0.033784
dbpedia_14,32,0.1,class_conditional,softmax_logreg,0.792653,-0.070001
dbpedia_14,32,0.1,class_conditional,trimmed_softmax_logreg,0.596359,-0.048504
dbpedia_14,32,0.1,symmetric,linear_svm_hinge,0.697828,-0.065261
dbpedia_14,32,0.1,symmetric,multinomial_nb,0.844593,-0.021579
dbpedia_14,32,0.1,symmetric,softmax_logreg,0.807160,-0.055493
dbpedia_14,32,0.1,symmetric,trimmed_softmax_logreg,0.629064,-0.015799
dbpedia_14,32,0.2,class_conditional,linear_svm_hinge,0.684467,-0.078622
dbpedia_14,32,0.2,class_conditional,multinomial_nb,0.773547,-0.092625
dbpedia_14,32,0.2,class_conditional,softmax_logreg,0.720501,-0.142152
dbpedia_14,32,0.2,class_conditional,trimmed_softmax_logreg,0.533875,-0.110988
dbpedia_14,32,0.2,symmetric,linear_svm_hinge,0.745121,-0.017969
dbpedia_14,32,0.2,symmetric,multinomial_nb,0.816454,-0.049719
dbpedia_14,32,0.2,symmetric,softmax_logreg,0.776385,-0.086268
dbpedia_14,32,0.2,symmetric,trimmed_softmax_logreg,0.563713,-0.081150
dbpedia_14,32,0.3,class_conditional,linear_svm_hinge,0.614294,-0.148796
dbpedia_14,32,0.3,class_conditional,multinomial_nb,0.672344,-0.193829
dbpedia_14,32,0.3,class_conditional,softmax_logreg,0.600727,-0.261926
dbpedia_14,32,0.3,class_conditional,trimmed_softmax_logreg,0.452443,-0.192421
dbpedia_14,32,0.3,symmetric,linear_svm_hinge,0.572908,-0.190181
dbpedia_14,32,0.3,symmetric,multinomial_nb,0.790530,-0.075642
dbpedia_14,32,0.3,symmetric,softmax_logreg,0.688249,-0.174405
dbpedia_14,32,0.3,symmetric,trimmed_softmax_logreg,0.507410,-0.137453
dbpedia_14,64,0.0,class_conditional,linear_svm_hinge,0.808542,0.000000
dbpedia_14,64,0.0,class_conditional,multinomial_nb,0.894587,0.000000
dbpedia_14,64,0.0,class_conditional,softmax_logreg,0.889311,0.000000
dbpedia_14,64,0.0,class_conditional,trimmed_softmax_logreg,0.663750,0.000000
dbpedia_14,64,0.0,symmetric,linear_svm_hinge,0.808542,0.000000
dbpedia_14,64,0.0,symmetric,multinomial_nb,0.894587,0.000000
dbpedia_14,64,0.0,symmetric,softmax_logreg,0.889311,0.000000
dbpedia_14,64,0.0,symmetric,trimmed_softmax_logreg,0.663750,0.000000
dbpedia_14,64,0.05,class_conditional,linear_svm_hinge,0.840171,0.031630
dbpedia_14,64,0.05,class_conditional,multinomial_nb,0.883403,-0.011183
dbpedia_14,64,0.05,class_conditional,softmax_logreg,0.858665,-0.030646
dbpedia_14,64,0.05,class_conditional,trimmed_softmax_logreg,0.667100,0.003350
dbpedia_14,64,0.05,symmetric,linear_svm_hinge,0.827207,0.018665
